id,points
TSPL0225882,14
TSPL0125286,13
TSPL0125718,12
TSPL0225860,11
TSPL0125695,11
TSPL0125519,10
TSPL02251670,8
TSPL02251696,8
TSPL0225926,8
TSPL02251252,8
TSPL0125690,8
TSPL0225925,8
TSPL02251351,7
TSPL0125366,7
TSPL02251616,7
TSPL02251815,6
TSPL0125587,6
TSPL02251174,5
TSPL02251576,4
TSPL0125689,3
TSPL02251784,3
TSPL02251794,2
TSPL0125473,2
TSPL02251421,2
TSPL02251508,2
TSPL02251181,1
TSPL02251407,1
TSPL03251978,0
TSPL02251609,0
TSPL02251661,0
TSPL02251753,0
TSPL02251154,-1
TSPL0125332,-2
TSPL0225838,-3
TSPL0125548,-3
TSPL02251459,-3
TSPL02251744,-3
TSPL02251781,-4
TSPL0125684,-5
TSPL02251357,-5
TSPL02251358,-5
TSPL02251418,-6
TSPL0125391,-6
TSPL0125487,-6
TSPL02251695,-6
TSPL0125694,-6
TSPL02251579,-6
TSPL02251833,-7
TSPL02251676,-7
TSPL0125472,-8
TSPL0125609,-10
TSPL02251764,-10
TSPL02251647,-11
TSPL0125314,-11
TSPL02251184,-11
TSPL02251601,-11
TSPL02251587,-12
TSPL02251752,-13
TSPL02251298,-14
TSPL0125714,-16
TSPL0225835,-18
TSPL02251636,-18
TSPL02251166,-19
TSPL0125225,-20
TSPL012545,-21
TSPL02251635,-22
TSPL012546,-22
TSPL02251859,-23
TSPL0125188,-23
TSPL02251606,-24
TSPL02251909,-25
TSPL02251864,-26
TSPL02251855,-26
TSPL02251602,-27
TSPL02251157,-28
TSPL02251731,-28
TSPL0125741,-28
TSPL0225855,-28
TSPL02251892,-30
TSPL0225891,-31
TSPL0125749,-31
TSPL02251741,-31
TSPL02251566,-35
TSPL012564,-35
TSPL02251498,-36
TSPL02251211,-37
TSPL0225983,-38
TSPL02251638,-39
TSPL02251756,-41
TSPL0125666,-45
TSPL02251439,-46
TSPL0125252,-46
TSPL02251761,-50
TSPL02251700,-51
